neuron_id,direction,cluster,nearest_cross_cluster,dist_to_nearest_cross,distance_metric
221423_040,FB,1,5,0.1687801676562823,euclidean
221423_058,FB,3,1,0.08605102300453746,euclidean
221475_088,FB,2,1,0.7042415425428598,euclidean
221475_110,FB,3,1,0.5684146046910171,euclidean
221475_111,FB,3,1,0.08605102300453746,euclidean
221645_178,FB,3,1,0.08605102300453746,euclidean
221706_078,FB,3,1,0.08605102300453746,euclidean
221706_123,FB,1,5,0.7700830809651821,euclidean
221714_045,FB,1,5,0.17386559574669622,euclidean
221714_050,FB,1,5,0.6290079252778308,euclidean
221732_099,FB,3,1,0.970623530146787,euclidean
221754_013,FB,1,5,0.17386559574669622,euclidean
